suj,rt,acc,congr,soa,tloc,cloc
1,NaN,1,NaN,NaN,NaN,1
1,414.1,1,NaN,NaN,2,NaN
1,1434.8,1,0,450,2,1
1,NaN,1,NaN,NaN,NaN,2
1,397.17,1,0,450,2,1
1,373.97,1,1,150,1,1
1,NaN,1,NaN,NaN,NaN,1
1,428.78,1,0,150,2,1
1,NaN,1,NaN,NaN,NaN,1
1,NaN,1,NaN,NaN,NaN,2
1,NaN,1,NaN,NaN,NaN,NaN
1,NaN,0,0,-150,2,1
1,NaN,0,0,-600,2,1
1,383.19,1,1,150,1,1
1,NaN,1,NaN,NaN,NaN,1
1,NaN,0,0,-150,2,1
1,NaN,1,NaN,NaN,NaN,2
1,351.5,1,0,-150,1,2
1,NaN,1,NaN,NaN,NaN,1
1,NaN,1,NaN,NaN,NaN,NaN
1,343.88,1,0,150,1,2
1,NaN,1,NaN,NaN,NaN,NaN
1,NaN,0,NaN,NaN,2,NaN
1,400.48,1,1,450,2,2
1,431.89,1,0,450,1,2
1,NaN,0,0,-600,2,1
1,NaN,1,NaN,NaN,NaN,1
1,NaN,0,NaN,NaN,2,NaN
1,354.55,1,0,-600,1,2
1,406.58,1,1,-150,1,1
1,414.07,1,0,-600,1,2
1,NaN,0,0,150,2,1
1,NaN,0,1,150,2,2
1,652.25,1,1,-150,2,2
1,NaN,1,NaN,NaN,NaN,2
1,529.07,1,1,150,2,2
1,445.65,1,0,-150,1,2
1,NaN,0,0,450,1,2
1,450.57,1,NaN,NaN,1,NaN
1,NaN,1,NaN,NaN,NaN,2
1,NaN,0,1,-600,2,2
1,597.58,1,NaN,NaN,1,NaN
1,463.67,1,NaN,NaN,1,NaN
1,NaN,1,NaN,NaN,NaN,1
1,435.57,1,NaN,NaN,2,NaN
1,367.61,1,0,150,1,2
1,NaN,1,NaN,NaN,NaN,2
1,370.74,1,1,-150,1,1
1,396.23,1,1,-600,1,1
1,NaN,0,1,450,1,1
1,NaN,1,NaN,NaN,NaN,1
1,NaN,1,NaN,NaN,NaN,2
1,NaN,0,1,-600,2,2
1,NaN,1,NaN,NaN,NaN,2
1,NaN,1,NaN,NaN,NaN,NaN
1,450.85,1,1,450,1,1
1,499.73,1,NaN,NaN,1,NaN
1,NaN,0,1,450,2,2
1,NaN,1,NaN,NaN,NaN,2
1,NaN,1,NaN,NaN,NaN,2
1,NaN,1,NaN,NaN,NaN,NaN
1,NaN,1,NaN,NaN,NaN,2
1,376.3,1,1,-150,2,2
1,NaN,0,1,450,2,2
1,443.88,1,NaN,NaN,2,NaN
1,NaN,0,0,450,2,1
1,433.6,1,1,-150,1,1
1,418.36,1,1,-600,1,1
1,NaN,1,NaN,NaN,NaN,2
1,NaN,0,1,-150,2,2
1,1014.8,1,0,-600,2,1
1,673.5,1,0,150,2,1
1,NaN,0,1,150,1,1
1,624.14,1,NaN,NaN,2,NaN
1,NaN,1,NaN,NaN,NaN,1
1,NaN,1,NaN,NaN,NaN,1
1,NaN,1,NaN,NaN,NaN,2
1,471.22,1,1,-600,2,2
1,NaN,0,NaN,NaN,2,NaN
1,514.5,1,1,-600,2,2
1,572.71,1,NaN,NaN,1,NaN
1,NaN,1,NaN,NaN,NaN,1
1,456.9,1,NaN,NaN,1,NaN
1,676.46,1,1,150,2,2
1,602.27,1,NaN,NaN,1,NaN
1,399.26,1,1,-600,1,1
1,NaN,1,NaN,NaN,NaN,2
1,NaN,0,1,150,2,2
1,NaN,1,NaN,NaN,NaN,NaN
1,526.39,1,NaN,NaN,2,NaN
1,NaN,0,0,150,2,1
1,450.5,1,0,-600,1,2
1,419.55,1,0,-600,1,2
1,543.59,1,1,450,1,1
1,NaN,1,NaN,NaN,NaN,1
1,NaN,0,1,450,2,2
1,605.91,1,0,150,1,2
1,412.4,1,1,-150,1,1
1,NaN,0,0,-600,2,1
1,417.4,1,0,-150,1,2
1,NaN,1,NaN,NaN,NaN,NaN
1,444.95,1,0,450,1,2
1,NaN,1,NaN,NaN,NaN,2
1,NaN,0,0,450,2,1
1,426.2,1,0,-150,1,2
1,NaN,0,0,450,1,2
1,NaN,1,NaN,NaN,NaN,2
1,NaN,1,NaN,NaN,NaN,1
1,NaN,0,0,-150,2,1
1,NaN,0,NaN,NaN,1,NaN
1,NaN,0,0,-150,2,1
1,NaN,1,NaN,NaN,NaN,1
1,NaN,1,NaN,NaN,NaN,NaN
1,NaN,1,NaN,NaN,NaN,1
1,1319.5,1,1,150,1,1
1,NaN,0,0,150,1,2
1,619.17,1,1,450,1,1
1,NaN,1,NaN,NaN,NaN,1
1,345.74,1,0,-150,1,2
1,NaN,1,NaN,NaN,NaN,2
1,NaN,1,NaN,NaN,NaN,NaN
1,NaN,1,NaN,NaN,NaN,1
1,NaN,1,NaN,NaN,NaN,1
1,NaN,1,NaN,NaN,NaN,1
1,443.08,1,0,-600,2,1
1,410.73,1,0,-150,2,1
1,423.87,1,0,-150,1,2
1,418.01,1,1,-150,2,2
1,465.83,1,0,450,2,1
1,376.84,1,1,450,1,1
1,387.01,1,0,150,2,1
1,440.16,1,0,150,2,1
1,NaN,1,NaN,NaN,NaN,1
1,444.05,1,NaN,NaN,2,NaN
1,NaN,1,NaN,NaN,NaN,1
1,805.27,1,1,150,2,2
1,604.71,1,NaN,NaN,2,NaN
1,480.68,1,1,150,1,1
1,NaN,1,NaN,NaN,NaN,NaN
1,NaN,1,NaN,NaN,NaN,2
1,548.93,1,1,450,2,2
1,NaN,0,0,450,2,1
1,453.7,1,NaN,NaN,2,NaN
1,549.89,1,0,-150,2,1
